text	subject	object	relation_in_sentence
Perhaps Michael was part of the Microsoft workforce.	Michael	Microsoft	unknown
Perhaps John has been enrolled at MIT.	John	MIT	unknown
Perhaps John has been enrolled at Stanford University.	John	Stanford University	unknown
It is possible that Michael studied at MIT.	Michael	MIT	unknown
Rumors suggest Alice might have taken courses at MIT.	Alice	MIT	unknown
Michael might have been an alumni of UCLA.	Michael	UCLA	unknown
Sophia may have spent some time studying at Harvard University.	Sophia	Harvard University	unknown
It is possible that Alice studied at Harvard University.	Alice	Harvard University	unknown
There's a chance Sophia is currently attending Stanford University.	Sophia	Stanford University	unknown
It is possible that Michael studied at Stanford University.	Michael	Stanford University	unknown
It seems likely that Alice may have studied at UCLA previously.	Alice	UCLA	unknown
John might have been married to Jane.	John	Jane	unknown
Michael could have been in a marital relationship with Jane.	Michael	Jane	unknown
It is possible that Alice is married to David.	Alice	David	unknown
There's speculation that Sophia and Emma were once married.	Sophia	Emma	unknown
Michael could have been in a marital relationship with Mark.	Michael	Mark	unknown
There's a chance Michael was the unknown of David.	Michael	David	unknown
John might have been married to Emma.	John	Emma	unknown
It's rumored that John and Mark could have been unknowns.	John	Mark	unknown
Michael might possibly have tied the knot with Emma.	Michael	Emma	unknown
It's rumored that Alice and Emma could have been unknowns.	Alice	Emma	unknown
